;;;;;;;;x
False;2DAutoCAD Fokus på ritningen som kommunikationsredskap;AD12DA;6.0;Basic
False;3D-Modellering;AD13DA;6.0;Basic
False;Arkitektoniska rekonstruktioner;AD235V;7.5;60 hp
False;Arkitekttävlingen: teori och professionell praktik;AD244V;7.5;60 hp
False;Arkitektur- och designforskning I;AD231V;7.5;60 hp
False;Arkitektur- och designforskning II;AD232V;7.5;COURSE_AD231V
False;Arkitektur för alla: användbarhet, delaktighet och tillgänglighet;AD245V;7.5;x
False;Arkitektur för ett åldrande samhälle;AD222V;10.0;x
False;Arkitektur för tekniklärare;AD1221;7.5;Basic
False;Arkitektur för ämneslärare I;AD1220;6.0;120 hp
False;Arkitektur för ämneslärare II;AD1222;9.0;x
False;Arkitektur och genus: fördjupning;AD241V;7.5;60 hp
False;Arkitektur och genus: Introduktion;AD236V;7.5;x
False;Arkitektur och genus: Projekt I;AD240V;15.0;x
False;Arkitektur och genus: Salong;AD238V;7.5;x
False;Arkitektur och genus: Studio;AD239V;7.5;60 hp
False;Arkitektur och genus: Uppsats;AD237V;7.5;60 hp
False;Arkitektur och plåt;AD1PLA;1.5;Basic
False;Arkitektur som terapeutisk miljö I: Arkitektur och omvårdnad;AD210V;7.5;Basic
False;Arkitektur som terapeutisk miljö II: Arkitektur och omvårdnad, fördjupning;AD211V;7.5;Basic
False;Arkitektur som terapeutisk miljö III: Estetik som läkande process;AD212V;7.5;Basic
False;Arkitektur som terapeutisk miljö IV: Estetik som läkande process, fördjupning;AD213V;7.5;Basic
False;Arkitektur, byggtekniken;AD1AB1;7.5;Basic
False;Arkitektur, form och design;AD1AFD;15.0;x
False;Arkitektur, kvalitet och bedömning;AD250V;7.5;120 hp
False;Arkitekturens begrepp och teorier;1A5031;7.5;Prof
False;Arkitekturens historiografi;1A5037;7.5;x
False;Arkitekturens kvalitetsfrågor;AD223V;15.0;Basic
False;Arkitekturens kvalitetsfrågor;AD234V;7.5;60 hp
False;Arkitekturkritisk teori I: Gender;AD204V;7.5;Basic
False;Arkitekturkritisk teori II: Gender, fördjupning;AD205V;7.5;Basic
False;Arkitekturkritisk teori III: Gender. Litteraturfördjupning;AD220V;7.5;Basic
False;Arkitekturpedagogik 1;AD1AP1;6.0;Basic
False;Att tävla i arkitektur och stadsbyggnad;AD249V;7.5;60 hp
False;Att utvärdera arkitektur;AD242V;7.5;60 hp
False;Avancerad arkitekturdesign I;AD233V;7.5;Mcs exam
False;Begrepp, teorier och experimentella praktiker i konst, teknik och design;AD3102;7.5;Mcs exam
False;Betong 1;AD1BE1;3.0;x
False;Betongkurs;AD1BES;7.5;x
False;Byggnadsrestaureringens historia och teori;AD246V;7.5;60 hp
False;Byggprojektet;AD1BYP;9.0;1 års
False;Concepts and Tools in Urban Analysis;AD2810;7.5;180 hp
False;Deltagande i eller anordning av utställning: konst, teknik och design;AD3108;1.5;Bcs exam
False;Deltagande i eller anordning av utställning: konst, teknik och design;AD3109;3.0;Bcs exam
False;Deltagande i seminarium eller workshop: konst, teknik och design;AD3104;1.5;Bcs exam
False;Deltagande i seminarium eller workshop: konst, teknik och design;AD3105;3.0;Bcs exam
False;Den internationella samtidsarkitekturen;AD102V;7.5;Basic
False;Det moderna byggnadsarvet;AD248V;7.5;120 hp
True;Examensarbete inom design och byggande;1A10HX;15.0;x
False;Examensarbete inom stadsplanering och design, avancerad nivå;AD2EXU;30.0;Bcs exam
False;Examensarbete inom stadsplanering och design, avancerad nivå;AD2UPX;30.0;Exam
False;Fold School Workshop - vikning av stora objekt;AD1FOL;4.0;x
False;Forskningspresentation eller -publikation: konst, teknik och design;AD3106;1.5;Bcs exam
False;Forskningspresentation eller -publikation: konst, teknik och design;AD3107;3.0;Bcs exam
False;Fotografi;AD1FOT;6.0;x
False;Framställning och förmedling av konstnärlig forskning;AD3114;7.5;Mcs exam
False;Färg för arkitekter;AD1FAR;6.0;Basic
False;Färg och rum;AD1FOR;6.0;Basic
False;Fördjupningsprojekt i restaurering I;AD207V;7.5;Basic
False;Fördjupningsprojekt i restaurering II;AD209V;7.5;Basic
True;Grundkurs i arkitektonisk gestaltning;1A5036;7.5;x
False;Grundkurs i arkitekturteknik;1A5038;7.5;x
False;Grundläggande principer för fastighetsekonomi och urban ekonomi;AD2845;7.5;Basic
False;HEJ Utställningsdesign;AD1HEJ;1.0;x
False;Huvudstäder i Norden;AD117V;6.0;Basic
False;Hållbar stadsplanering och stadsbyggnad studio 1.1- Texturer;AD2861;7.5;Bcs exam
False;Hållbar stadsplanering och stadsbyggnad studio 1.1- Texturer;AD2867;15.0;Basic
False;Hållbar stadsplanering och stadsbyggnad studio 1.2- Situationer;AD2862;15.0;Bcs exam
False;Hållbar stadsplanering och stadsbyggnad studio 2.1- Urbana Ekologier;AD2863;22.5;Bcs exam
False;Högre seminarium i arkitektur, del 1;1A5032;7.5;Prof
False;Högre seminarium i arkitektur, del 2;1A5033;7.5;Prof
False;Högskolepedagogisk introduktion: konst och designutbildning;AD3103;5.0;Mcs exam
False;Individuell läskurs: Arkitektur;1A5041;2.5;Prof
False;Individuell läskurs: Arkitektur;1A5042;5.0;Prof
False;Individuell läskurs: Arkitektur;1A5043;7.5;Prof
False;Individuell läskurs: konst, teknik och design;AD3110;5.0;Bcs exam
False;Individuell läskurs: konst, teknik och design;AD3111;7.5;Bcs exam
False;Individuell projektkurs: Arkitektur;1A5047;5.0;Prof
False;Individuell projektkurs: Arkitektur;1A5048;7.5;Prof
False;Individuell projektkurs: Arkitektur;1A5049;10.0;Prof
False;Individuell projektkurs: Arkitektur;1A5050;15.0;Prof
False;Individuell projektkurs: konst, teknik och design;AD3112;5.0;Bcs exam
False;Individuell projektkurs: konst, teknik och design;AD3113;7.5;Bcs exam
False;Individuell seminariekurs: Arkitektur;1A5044;2.5;Prof
False;Individuell seminariekurs: Arkitektur;1A5045;5.0;Prof
False;Individuell seminariekurs: Arkitektur;1A5046;7.5;Prof
False;Individuellt arkitekturprojekt på avancerad nivå;AD2IP9;9.0;Bcs exam
False;Individuellt arkitekturprojekt på grundnivå;AD1IP9;9.0;1 års
False;Internationell restaureringshistoria;AD208V;7.5;x
False;Introduktionskurs i urbanekonomi;AD2865;7.5;x
False;Inventering av den urbana periferin Moskva-Stockholm;AD1MOS;6.0;x
False;IWAU Workshop;AD1IWW;3.0;Basic
False;Kommunikationsdesign 1;AD1KD1;30.0;x
False;Kommunikationsdesign 2;AD1KD2;30.0;COURSE_AD1KD1
False;Kommunikativa rum;AD2KOR;6.0;x
False;Konstnärlig träning ht (A);AD1KHA;1.5;x
False;Konstnärlig träning vt (B);AD1KVA;1.5;x
False;Kritiska studier i arkitektur;1A5039;7.5;Prof
False;Kroki;AD1KRA;4.5;x
False;Kroki 1;AD1KR1;3.0;All
False;Kroki 2;AD1KR2;3.0;Basic
False;Kroki 3;AD1KR3;3.0;Basic
False;Kroki 4;AD1KR4;3.0;Basic
False;Kunskapskommunikation inom arkitekturforskning;1A5034;7.5;Prof
False;Laserskärning 1;AD1LA1;2.0;Basic
False;Laserskärning 2;AD1LA2;2.0;All
False;Laserskärning 3;AD1LA3;2.0;All
False;Laserskärning 4;AD1LA4;2.0;All
False;Matter matters: Samtida arkitekturteknik;AD214V;7.5;Basic
False;Modernismens historieskrivning;AD203V;7.5;Basic
False;Möbelformgivning;AD2MOB;3.0;x
False;Nordisk arkitektur;AD116V;6.0;Basic
False;Nordisk arkitektur;AD243V;7.5;7,5 hp
False;Nutida trender i stadsplanering och stadsutformning II;AD2855;7.5;x
False;Närvaroarkitektur;AD2NA1;7.5;x
False;Omtänkande forskningspraktiker i konst, teknik och design;AD3101;10.0;Prof
