;;;;
ADD;https://www.kth.se/student/kurser/kurs/AD12DA;6.0;AD12DA;Grundnivå
ADD;https://www.kth.se/student/kurser/kurs/AD13DA;6.0;AD13DA;Grundnivå
ADD;https://www.kth.se/student/kurser/kurs/AD1PR1;2.0;AD1PR1;Grundnivå
ADD;https://www.kth.se/student/kurser/kurs/AD117U;7.5;AD117U;Grundnivå
ADD;https://www.kth.se/student/kurser/kurs/AD235V;7.5;AD235V;Avancerad nivå
ADD;https://www.kth.se/student/kurser/kurs/AD244V;7.5;AD244V;Avancerad nivå
ADD;https://www.kth.se/student/kurser/kurs/AD231V;7.5;AD231V;Avancerad nivå
ADD;https://www.kth.se/student/kurser/kurs/AD232V;7.5;AD232V;Avancerad nivå
ADD;https://www.kth.se/student/kurser/kurs/AD245V;7.5;AD245V;Avancerad nivå
ADD;https://www.kth.se/student/kurser/kurs/AD222V;10.0;AD222V;Avancerad nivå
ADD;https://www.kth.se/student/kurser/kurs/AD1221;7.5;AD1221;Grundnivå
ADD;https://www.kth.se/student/kurser/kurs/AD1220;6.0;AD1220;Grundnivå
ADD;https://www.kth.se/student/kurser/kurs/AD1222;9.0;AD1222;Grundnivå
ADD;https://www.kth.se/student/kurser/kurs/AD241V;7.5;AD241V;Avancerad nivå
ADD;https://www.kth.se/student/kurser/kurs/AD236V;7.5;AD236V;Avancerad nivå
ADD;https://www.kth.se/student/kurser/kurs/AD240V;15.0;AD240V;Avancerad nivå
ADD;https://www.kth.se/student/kurser/kurs/AD238V;7.5;AD238V;Avancerad nivå
ADD;https://www.kth.se/student/kurser/kurs/AD239V;7.5;AD239V;Avancerad nivå
ADD;https://www.kth.se/student/kurser/kurs/AD237V;7.5;AD237V;Avancerad nivå
ADD;https://www.kth.se/student/kurser/kurs/AD1PLA;1.5;AD1PLA;Grundnivå
ADD;https://www.kth.se/student/kurser/kurs/AD210V;7.5;AD210V;Avancerad nivå
ADD;https://www.kth.se/student/kurser/kurs/AD211V;7.5;AD211V;Avancerad nivå
ADD;https://www.kth.se/student/kurser/kurs/AD212V;7.5;AD212V;Avancerad nivå
ADD;https://www.kth.se/student/kurser/kurs/AD213V;7.5;AD213V;Avancerad nivå
ADD;https://www.kth.se/student/kurser/kurs/AD1AB1;7.5;AD1AB1;Grundnivå
ADD;https://www.kth.se/student/kurser/kurs/AD1AFD;15.0;AD1AFD;Grundnivå
ADD;https://www.kth.se/student/kurser/kurs/AD250V;7.5;AD250V;Avancerad nivå
ADD;https://www.kth.se/student/kurser/kurs/1A5031;7.5;1A5031;Forskarnivå
ADD;https://www.kth.se/student/kurser/kurs/1A5037;7.5;1A5037;Forskarnivå
ADD;https://www.kth.se/student/kurser/kurs/AD223V;15.0;AD223V;Avancerad nivå
ADD;https://www.kth.se/student/kurser/kurs/AD234V;7.5;AD234V;Avancerad nivå
ADD;https://www.kth.se/student/kurser/kurs/AD204V;7.5;AD204V;Avancerad nivå
ADD;https://www.kth.se/student/kurser/kurs/AD205V;7.5;AD205V;Avancerad nivå
ADD;https://www.kth.se/student/kurser/kurs/AD220V;7.5;AD220V;Avancerad nivå
ADD;https://www.kth.se/student/kurser/kurs/AD1AP1;6.0;AD1AP1;Grundnivå
